risk_weight,total_cost,risk_score,carbon_score_kg
0.0,2750585.110835691,9.492110457979145,10286.767630273165
0.1,2756752.682807231,9.481680843883296,10281.644670650603
0.2,2756752.682807231,9.481680843883296,10281.644670650603
0.30000000000000004,2756752.682807231,9.481680843883296,10281.644670650603
0.4,2756752.682807231,9.481680843883296,10281.644670650603
0.5,2756752.682807231,9.481680843883296,10281.644670650603
0.6000000000000001,2756752.682807231,9.481680843883296,10281.644670650603
0.7000000000000001,2756752.682807231,9.481680843883296,10281.644670650603
0.8,2756752.682807231,9.481680843883296,10281.644670650603
0.9,2756752.682807231,9.481680843883296,10281.644670650603
1.0,2756752.682807231,9.481680843883296,10281.644670650603
